date,temperature,humidity,luminosity
2019-12-11 14:39:06.934,21.6,31.3,315
2019-12-11 14:39:09.212,21.6,31.2,315
2019-12-11 14:39:11.489,21.6,31.2,305
2019-12-11 14:39:13.763,21.6,31.2,305
2019-12-11 14:39:16.040,21.6,31.1,305
2019-12-11 14:39:18.313,21.6,31.1,302
2019-12-11 14:39:20.591,21.6,31.1,300
2019-12-11 14:39:22.868,21.5,31.1,300
2019-12-11 14:39:25.142,21.6,31.1,302
2019-12-11 14:39:27.419,21.5,31.1,302
2019-12-11 14:39:29.697,21.6,31.1,305
2019-12-11 14:39:31.970,21.5,31.0,307
2019-12-11 14:39:34.248,21.6,31.0,300
2019-12-11 14:39:36.521,21.5,31.0,302
2019-12-11 14:39:38.798,21.6,31.0,300
2019-12-11 14:39:41.075,21.6,31.0,305
2019-12-11 14:39:43.348,21.5,31.0,302
2019-12-11 14:39:45.627,21.6,30.9,302
2019-12-11 14:39:47.903,21.6,30.9,302
2019-12-11 14:39:50.177,21.6,30.9,305
2019-12-11 14:39:52.453,21.6,30.9,305
2019-12-11 14:39:54.731,21.6,30.9,302
2019-12-11 14:39:57.004,21.5,30.9,302
2019-12-11 14:39:59.282,21.6,31.0,300
2019-12-11 14:40:01.555,21.6,31.0,300
2019-12-11 14:40:03.832,21.5,31.0,302
2019-12-11 14:40:06.110,21.6,31.0,302
2019-12-11 14:40:08.383,21.6,31.0,302
2019-12-11 14:40:10.660,21.5,31.1,302
2019-12-11 14:40:12.937,21.6,31.1,302
2019-12-11 14:40:15.211,21.6,31.1,302
2019-12-11 14:40:17.488,21.6,31.1,302
2019-12-11 14:40:19.761,21.6,31.1,302
2019-12-11 14:40:22.039,21.5,31.1,302
2019-12-11 14:40:24.316,21.5,31.1,300
2019-12-11 14:40:26.590,21.6,31.1,300
2019-12-11 14:40:28.867,21.5,31.1,302
2019-12-11 14:40:31.144,21.6,31.1,300
2019-12-11 14:40:33.417,21.5,31.1,302
2019-12-11 14:40:35.694,21.5,31.2,302
2019-12-11 14:40:37.972,21.6,31.2,305
2019-12-11 14:40:40.245,21.6,31.2,302
2019-12-11 14:40:42.523,21.5,31.2,302
2019-12-11 14:40:44.796,21.6,31.2,302
2019-12-11 14:40:47.073,21.5,31.2,320
2019-12-11 14:40:49.350,21.5,31.2,334
2019-12-11 14:40:51.624,21.6,31.2,334
2019-12-11 14:40:53.901,21.5,31.2,328
2019-12-11 14:40:56.179,21.5,31.1,310
2019-12-11 14:40:58.451,21.5,31.1,337
2019-12-11 14:41:00.730,21.5,31.1,334
2019-12-11 14:41:03.003,21.6,31.2,340
2019-12-11 14:41:05.279,21.5,31.2,337
