date,temperature,humidity,luminosity
2019-12-04 14:40:01.370,22.3,27.8,317
2019-12-04 14:40:03.647,22.3,27.9,317
2019-12-04 14:40:05.921,22.3,28.6,317
2019-12-04 14:40:08.198,22.3,29.6,317
2019-12-04 14:40:10.475,22.3,30.0,317
2019-12-04 14:40:12.749,22.3,30.0,317
2019-12-04 14:40:15.026,22.3,29.9,315
2019-12-04 14:40:17.299,22.3,30.2,273
2019-12-04 14:40:19.577,22.3,30.7,265
2019-12-04 14:40:21.854,22.3,31.0,238
2019-12-04 14:40:24.127,22.3,31.1,315
2019-12-04 14:40:26.405,22.3,31.1,245
2019-12-04 14:40:28.682,22.3,31.1,273
2019-12-04 14:40:30.955,22.3,30.9,277
2019-12-04 14:40:33.232,22.3,30.5,256
2019-12-04 14:40:35.510,22.4,30.2,249
2019-12-04 14:40:37.783,22.3,29.8,252
2019-12-04 14:40:40.061,22.4,29.6,320
2019-12-04 14:40:42.338,22.3,29.3,323
2019-12-04 14:40:44.611,22.3,29.1,326
2019-12-04 14:40:46.889,22.3,28.9,326
2019-12-04 14:40:49.163,22.3,28.7,326
2019-12-04 14:40:51.440,22.4,28.5,326
2019-12-04 14:40:53.717,22.3,28.4,326
2019-12-04 14:40:55.995,22.3,28.3,326
2019-12-04 14:40:58.268,22.3,28.2,323
2019-12-04 14:41:00.546,22.4,28.1,323
2019-12-04 14:41:02.819,22.3,28.0,323
2019-12-04 14:41:05.097,22.3,28.0,326
2019-12-04 14:41:07.374,22.3,28.0,326
2019-12-04 14:41:09.651,22.3,27.9,317
2019-12-04 14:41:11.924,22.3,27.9,317
2019-12-04 14:41:14.201,22.3,27.9,317
2019-12-04 14:41:16.479,22.3,27.9,317
2019-12-04 14:41:18.752,22.3,28.0,317
2019-12-04 14:41:21.029,22.3,28.0,317
2019-12-04 14:41:23.308,22.3,28.0,317
2019-12-04 14:41:25.581,22.4,27.9,317
2019-12-04 14:41:27.858,22.3,28.1,317
2019-12-04 14:41:30.135,22.3,28.3,317
2019-12-04 14:41:32.408,22.4,28.6,320
2019-12-04 14:41:34.685,22.4,28.7,320
2019-12-04 14:41:36.963,22.4,28.6,317
2019-12-04 14:41:39.236,22.3,28.4,317
2019-12-04 14:41:41.513,22.3,28.2,315
2019-12-04 14:41:43.791,22.3,28.1,317
2019-12-04 14:41:46.064,22.3,28.1,312
2019-12-04 14:41:48.341,22.3,28.1,302
2019-12-04 14:41:50.618,22.4,28.3,291
2019-12-04 14:41:52.891,22.4,29.0,312
2019-12-04 14:41:55.168,22.4,29.2,312
2019-12-04 14:41:57.441,22.4,29.2,286
2019-12-04 14:41:59.720,22.4,29.1,197
2019-12-04 14:42:01.992,22.4,29.1,197
2019-12-04 14:42:04.270,22.4,29.2,198
2019-12-04 14:42:06.547,22.4,29.4,201
2019-12-04 14:42:08.821,22.4,30.0,199
2019-12-04 14:42:11.098,22.4,30.3,201
2019-12-04 14:42:13.371,22.4,30.1,197
2019-12-04 14:42:15.649,22.4,29.8,310
2019-12-04 14:42:17.926,22.4,29.5,307
2019-12-04 14:42:20.199,22.4,29.2,194
2019-12-04 14:42:22.477,22.4,29.0,254
2019-12-04 14:42:24.749,22.4,28.8,198
2019-12-04 14:42:27.027,22.4,28.6,207
2019-12-04 14:42:29.304,22.4,28.4,209
2019-12-04 14:42:31.577,22.4,28.9,282
2019-12-04 14:42:33.854,22.4,29.6,312
2019-12-04 14:42:36.128,22.4,29.7,305
2019-12-04 14:42:38.405,22.4,29.7,312
2019-12-04 14:42:40.678,22.4,29.6,315
2019-12-04 14:42:42.956,22.4,29.3,315
2019-12-04 14:42:45.233,22.5,29.2,315
2019-12-04 14:42:47.507,22.5,29.0,315
2019-12-04 14:42:49.785,22.5,28.8,307
2019-12-04 14:42:52.058,22.5,28.6,252
2019-12-04 14:42:54.335,22.5,28.4,300
2019-12-04 14:42:56.613,22.5,28.2,312
2019-12-04 14:42:58.887,22.4,28.1,300
2019-12-04 14:43:01.164,22.4,28.0,302
2019-12-04 14:43:03.441,22.5,28.1,282
2019-12-04 14:43:05.714,22.5,28.3,269
2019-12-04 14:43:07.992,22.4,28.5,293
2019-12-04 14:43:10.269,22.5,28.7,192
2019-12-04 14:43:12.542,22.5,28.7,187
2019-12-04 14:43:14.819,22.5,28.6,310
2019-12-04 14:43:17.093,22.4,28.2,282
2019-12-04 14:43:19.370,22.4,28.0,198
2019-12-04 14:43:21.648,22.4,27.8,219
2019-12-04 14:43:23.921,22.4,27.7,219
2019-12-04 14:43:26.198,22.4,27.6,223
2019-12-04 14:43:28.476,22.4,27.5,226
2019-12-04 14:43:30.750,22.4,27.4,220
2019-12-04 14:43:33.026,22.4,27.3,194
2019-12-04 14:43:35.299,22.4,27.3,197
2019-12-04 14:43:37.577,22.5,27.3,215
2019-12-04 14:43:39.854,22.5,27.2,275
2019-12-04 14:43:42.128,22.5,27.4,317
2019-12-04 14:43:44.405,22.5,27.7,320
2019-12-04 14:43:46.682,22.5,27.8,317
2019-12-04 14:43:48.954,22.5,28.0,317
2019-12-04 14:43:51.232,22.5,28.0,317
2019-12-04 14:43:53.505,22.5,27.9,317
2019-12-04 14:43:55.782,22.5,27.8,320
2019-12-04 14:43:58.059,22.5,27.6,320
2019-12-04 14:44:00.332,22.5,27.5,317
2019-12-04 14:44:02.611,22.5,27.5,317
2019-12-04 14:44:04.888,22.5,27.4,317
2019-12-04 14:44:07.161,22.5,27.4,317
2019-12-04 14:44:09.438,22.5,27.4,317
2019-12-04 14:44:11.711,22.5,27.4,320
2019-12-04 14:44:13.988,22.5,27.3,317
2019-12-04 14:44:16.266,22.5,27.3,317
2019-12-04 14:44:18.539,22.5,27.3,317
2019-12-04 14:44:20.817,22.5,27.2,317
2019-12-04 14:44:23.094,22.5,27.2,320
2019-12-04 14:44:25.367,22.5,27.1,315
2019-12-04 14:44:27.645,22.5,27.0,315
2019-12-04 14:44:29.922,22.5,26.9,295
2019-12-04 14:44:32.195,22.5,26.8,315
2019-12-04 14:44:34.472,22.5,26.7,305
2019-12-04 14:44:36.746,22.5,26.6,300
2019-12-04 14:44:39.023,22.5,26.6,302
